code,name
D106,七星山
D104,劍潭山
D108,南港山
D102,大屯山
D107,山豬窟山
D125,石尖山
D103,紗帽山
D105,蟾蜍山
D115,三角崙山
D114,三貂嶺
D109,五分山
D151,基隆山
D112,大桶山
D113,波路山
D116,燦光寮山
D111,磺嘴山
D110,竹子山
D137,低陸山
D143,塔曼山
D136,夫婦山
D139,拉拉山
D142,插天山
D140,東眼山
D124,檜山
D134,石牛山
D138,良羽鳥山
D135,金面山
D141,馬望曾呂山
D144,十八尖山
D074,伊澤山
D145,向天湖山
D079,喀拉業山
D149,李棟山
D077,桃山
D075,池有山
D150,烏來山
D148,虎禮山
D147,霞喀羅大山
D146,霞山
D049,中雪山
D132,佳仁山
D051,加利山
D128,加里山
D129,北坑山
D048,大雪山
D072,大霸尖山
D131,東陽山
D050,火石山
D126,班山
D130,老松山
D133,能甲山
D078,雪山
D078,雪山主峰
D127,馬那邦山
D001,中央尖山
D091,佳陽山
D097,劍山
D003,南湖大山
D003,南湖大山主峰
D003,南湖主峰
D004,南湖大山南峰
D004,南湖南峰
D092,南湖大山東峰
D092,南湖東峰
D076,品田山
D084,大劍山
D073,小霸尖山
D002,巴巴山
D090,志佳陽大山
D095,無明山
D085,甘薯峰
D096,鈴鳴山
D093,閂山
D052,雪山北峰
D053,雪山東峰
D054,頭鷹山
D023,丹大山
D011,光頭山
D020,八通關山
D025,六順山
D031,卓社大山
D061,南大水窟山
D028,合歡山
D028,合歡山主峰
D029,合歡山東峰
D088,合歡山西峰
D021,大水窟山
D014,奇萊主山南峰
D014,奇萊南峰
D022,干卓萬山
D033,東巒大山
D032,東郡大山
D042,無雙山
D034,牧山
D083,玉山前峰
D026,玉山北峰
D082,玉山東峰
D081,玉山西峰
D094,畢祿山
D086,白姑大山
D009,白石山
D030,秀姑巒山
D044,義西請馬至山
D038,能高北峰
D037,能高山主峰
D018,能高山南峰
D043,萬東山西峰
D046,西巒大山
D068,達芬尖山
D039,郡大山
D040,馬利加南山
D041,馬博拉斯山
D045,駒盆山
D080,玉山
D080,玉山主峰
D055,三叉山
D059,卑南主山
D035,南玉山
D036,南雙頭山
D058,向陽山
D066,塔芬山
D067,塔關山
D056,小關山
D062,庫哈諾辛山
D060,東小南山
D063,海諾南山
D057,玉山南峰
D069,轆轆山
D070,關山
D071,關山嶺山
D065,雲峰
D064,鹿山
D047,大武山
D005,南湖北山
D119,唐穗山
D123,多加神山
D007,審馬陣山
D120,望洋山
D118,盆盆山
D121,銅山
D117,阿玉山
D122,馬望來山
D006,馬比杉山
D024,內嶺爾山
D087,合歡山北峰
D087,合歡北峰
D100,喀西帕南山
D008,太魯閣大山
D013,奇萊主山北峰
D013,奇萊北峰
D015,奇萊主峰
D012,安東軍山
D017,屏風山
D098,布拉克桑山
D016,帕托魯山
D101,新康山
D027,石門山
D019,磐石山
D010,立霧主山
D089,羊頭山
D099,馬西山
